transaction_type,description,amount_field,record_ref,to_summary_field_when_positive_amount,to_summary_field_when_negative_amount
FBA_TRANSACTION_FEES,AWD_STORAGE_FEE,total,txn_ref+FBA_TRANSACTION_FEES_AWD_STORAGE_FEE+settlement_id+date,,
FBA_TRANSACTION_FEES,AWD_TRANSPORTATION_FEE,fba_fees,txn_ref+FBA_TRANSACTION_FEES_AWD_TRANSPORTATION_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBA_TRANSACTION_FEES,AWD_TRANSPORTATION_FEE,total,txn_ref+FBA_TRANSACTION_FEES_AWD_TRANSPORTATION_FEE+settlement_id+date,,
FBA_TRANSACTION_FEES,AWD_PROCESSING_FEE,fba_fees,txn_ref+FBA_TRANSACTION_FEES_AWD_PROCESSING_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBA_TRANSACTION_FEES,AWD_PROCESSING_FEE,total,txn_ref+FBA_TRANSACTION_FEES_AWD_PROCESSING_FEE+settlement_id+date,,
FBA_TRANSACTION_FEES,FBA_CUSTOMER_RETURNS_FEE,fba_fees,FBA_TRANSACTION_FEES_FBA_CUSTOMER_RETURNS_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBA_TRANSACTION_FEES,FBA_CUSTOMER_RETURNS_FEE,total,FBA_TRANSACTION_FEES_FBA_CUSTOMER_RETURNS_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_RETURN_FEE,other,txn_ref+FBA_RETURN_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_RETURN_FEE,total,txn_ref+FBA_RETURN_FEE+settlement_id+date,,
ORDER_RETROCHARGE,any,sales_tax_collected,txn_ref+ORDER_RETROCHARGE+settlement_id+date,sales_other,sales_other
ORDER_RETROCHARGE,any,total,txn_ref+ORDER_RETROCHARGE+settlement_id+date,,
SERVICE_FEE,REFUND_FOR_ADVERTISER,other_transaction_fees,SERVICE_FEE_REFUND_FOR_ADVERTISER+settlement_id+date,sales_other,sales_other
SERVICE_FEE,REFUND_FOR_ADVERTISER,other,SERVICE_FEE_REFUND_FOR_ADVERTISER+settlement_id+date,sales_other,sales_other
SERVICE_FEE,REFUND_FOR_ADVERTISER,total,SERVICE_FEE_REFUND_FOR_ADVERTISER+settlement_id+date,,
ADJUSTMENT,FAILED_DISBURSEMENT,total,FAILED_DISBURSEMENT+description+settlement_id+date,,
OTHERS,SELLER_REWARDS,total,SELLER_REWARDS+settlement_id+date,,
OTHERS,SELLER_REWARDS,other,SELLER_REWARDS+settlement_id+date,sales_other,sales_other
ADJUSTMENT,MULTI-CHANNEL_FULFILMENT_INVENTORY_REIMBURSEMENT_–_LOST,other,txn_ref+sku+MCF_INVENTORY_REIMBURSEMENT_LOST+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
ADJUSTMENT,MULTI-CHANNEL_FULFILMENT_INVENTORY_REIMBURSEMENT_–_LOST,total,txn_ref+sku+MCF_INVENTORY_REIMBURSEMENT_LOST+settlement_id+date,,
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FULFILMENT_BY_AMAZON_REMOVAL_ORDER:_DISPOSAL_FEE,total,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FULFILMENT_BY_AMAZON_REMOVAL_ORDER:_DISPOSAL_FEE,fba_fees,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FBA_REMOVAL_ORDER:_RETURN_FEE,total,txn_ref+FBA_RETURN_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FBA_REMOVAL_ORDER:_RETURN_FEE,fba_fees,txn_ref+FBA_RETURN_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FULFILMENT_BY_AMAZON_(FBA)_INVENTORY_STORAGE_FEE,total,FBA_INVENTORY_STORAGE_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FULFILMENT_BY_AMAZON_(FBA)_INVENTORY_STORAGE_FEE,fba_fees,FBA_INVENTORY_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FULFILMENT_BY_AMAZON_(FBA)_LONG-TERM_STORAGE_FEE,fba_fees,FBA_INVENTORY_FEE_FBA_LONG-TERM_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FULFILMENT_BY_AMAZON_(FBA)_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE,total,FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FULFILMENT_BY_AMAZON_(FBA)_LONG-TERM_STORAGE_FEE,total,FBA_INVENTORY_FEE_FBA_LONG-TERM_STORAGE_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_TRANSACTION_FEES,FULFILMENT_BY_AMAZON_(FBA)_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE,fba_fees,FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
ADJUSTMENT,COMMISSION_ADJUSTMENT,other,ADJUSTMENT_OTHER+settlement_id+date,total_adjustment_other_buyer_recharge_amt,total_adjustment_other_buyer_recharge_amt
