transaction_type,amount_type,amount_description,record_ref,to_summary_field_when_positive_amount,to_summary_field_when_negative_amount
SELLER_REWARDS,SELLER_REWARDS,SELLER_REWARDS,SELLER_REWARDS+settlement_id+date,sales_other,sales_other
OTHER-TRANSACTION,MCF_INVENTORY_REIMBURSEMENT,MULTICHANNEL_ORDER_LOST,txn_ref+sku+MCF_INVENTORY_REIMBURSEMENT_LOST+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
ORDER,ITEMWITHHELDTAX,LOWVALUEGOODSTAX-OTHER,txn_ref+sku+date,sales_other,sales_other
FBAFEES,FBA_REMOVAL_ORDER:_DISPOSAL_FEE,BASE_FEE,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,FBA_REMOVAL_ORDER:_DISPOSAL_FEE,TAX_ON_FEE,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,FBA_INVENTORY_STORAGE_FEE,BASE_FEE,FBA_INVENTORY_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,FBA_INVENTORY_STORAGE_FEE,TAX_ON_FEE,FBA_INVENTORY_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,FBA_REMOVAL_ORDER:_RETURN_FEE,BASE_FEE,txn_ref+FBA_RETURN_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,FBA_REMOVAL_ORDER:_RETURN_FEE,TAX_ON_FEE,txn_ref+FBA_RETURN_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,FBA_LONG_TERM_STORAGE_FEE,BASE_FEE,FBA_INVENTORY_FEE_FBA_LONG-TERM_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,FBA_LONG_TERM_STORAGE_FEE,TAX_ON_FEE,FBA_INVENTORY_FEE_FBA_LONG-TERM_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE,BASE_FEE,FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE,TAX_ON_FEE,FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
OTHER-TRANSACTION,OTHER-TRANSACTION,PROMOTION_ADJUSTMENT,ADJUSTMENT_OTHER+settlement_id+date+record_type+settlement_id,total_adjustment_other_buyer_recharge_amt,total_adjustment_other_buyer_recharge_amt
